City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Sergeyevka,KZ,2022-05-05 01:53:36,53.88,67.4158,53.19,41,98,5.1
265,Dutlwe,BW,2022-05-05 01:53:36,-23.9833,23.9,59.74,50,23,2.04
266,Asyut,EG,2022-05-05 01:53:37,27.181,31.1837,68.18,46,1,12.88
267,Wanning,CN,2022-05-05 01:53:37,18.8003,110.3967,79.12,77,63,10.6
268,Porto Novo,BJ,2022-05-05 01:53:38,6.4965,2.6036,75.02,90,100,3.89
269,Yerofey Pavlovich,RU,2022-05-05 01:53:38,53.9667,121.9667,43.66,44,100,7.05
270,Pleshanovo,RU,2022-05-05 01:53:39,52.8333,53.4833,49.3,65,11,10.45
271,Pevek,RU,2022-05-05 01:50:49,69.7008,170.3133,23.63,81,100,7.25
272,Iqaluit,CA,2022-05-05 01:53:39,63.7506,-68.5145,8.33,78,20,20.71
273,Ca Mau,VN,2022-05-05 01:53:40,9.1769,105.15,86.29,68,99,12.55
274,Alofi,NU,2022-05-05 01:53:40,-19.0595,-169.9187,82.29,69,40,8.05
275,Shakawe,BW,2022-05-05 01:53:41,-18.3667,21.85,61.7,53,79,4.79
276,Isangel,VU,2022-05-05 01:53:41,-19.55,169.2667,81.25,70,7,7.76
277,Lubango,AO,2022-05-05 01:53:42,-14.9172,13.4925,55.29,61,3,4.56
278,Pljevlja,ME,2022-05-05 01:53:42,43.3333,19.3333,44.4,88,13,3.22
279,Porec,HR,2022-05-05 01:53:46,45.2258,13.5939,55.36,70,70,5.97
280,Khawhai,IN,2022-05-05 01:53:47,23.3667,93.1167,64.13,80,30,1.21
281,Dzhebariki-Khaya,RU,2022-05-05 01:53:47,62.2167,135.8,38.52,90,100,7.49
282,Santiago,CL,2022-05-05 01:51:30,-33.4569,-70.6483,63.86,63,0,10.36
283,Lata,PT,2022-05-05 01:53:48,40.1629,-8.3327,54.07,76,6,3.11
284,Broken Hill,AU,2022-05-05 01:53:48,-31.95,141.4333,55.11,58,2,13.8
285,Sorland,NO,2022-05-05 01:53:49,67.667,12.6934,35.44,100,100,26.93
286,Nuuk,GL,2022-05-05 01:44:10,64.1835,-51.7216,23.61,80,20,13.8
287,Saint-Leu,RE,2022-05-05 01:53:50,-21.15,55.2833,74.32,74,10,5.35
288,Kaitangata,NZ,2022-05-05 01:44:44,-46.2817,169.8464,63.68,55,11,1.7
289,Iranshahr,IR,2022-05-05 01:53:51,27.2025,60.6848,82.08,21,0,3.74
290,Socorro,US,2022-05-05 01:51:03,31.6546,-106.3033,83.17,12,0,12.71
291,Kavaratti,IN,2022-05-05 01:53:51,10.5669,72.642,85.46,73,100,14.67
